modelo,texto,timestamp,error,model_errors,raw_response,cita_textual_titular__codigo,cita_textual_titular__evidencia,genero_nombre_propio_titular__codigo,genero_nombre_propio_titular__evidencia,genero_periodista__codigo,genero_periodista__evidencia,genero_personas_mencionadas__codigo,genero_personas_mencionadas__evidencia,nombre_propio_titular__codigo,nombre_propio_titular__evidencia,personas_mencionadas__codigo,personas_mencionadas__evidencia,tema__codigo,tema__evidencia
ollama/qwen3:8b,"María López presentó un estudio. ""Hemos encontrado resultados prometedores"" dijo la investigadora. El reportaje fue redactado por Laura García.",2025-11-12 09:59:56,,[],"{
  ""cita_textual_titular"": {
    ""codigo"": ""0"",
    ""evidencia"": []
  },
  ""genero_nombre_propio_titular"": {
    ""codigo"": ""2"",
    ""evidencia"": [""María López""]
  },
  ""genero_periodista"": {
    ""codigo"": ""2"",
    ""evidencia"": [""Laura García""]
  },
  ""genero_personas_mencionadas"": {
    ""codigo"": ""4"",
    ""evidencia"": [""María López"", ""Laura García""]
  },
  ""nombre_propio_titular"": {
    ""codigo"": ""2"",
    ""evidencia"": [""María López""]
  },
  ""personas_mencionadas"": {
    ""codigo"": ""4"",
    ""evidencia"": [""María López"", ""Laura García""]
  },
  ""tema"": {
    ""codigo"": ""15"",
    ""evidencia"": [""presentó un estudio"", ""resultados prometedores""]
  }
}",0,[],2,"[""María López""]",2,"[""Laura García""]",4,"[""María López"", ""Laura García""]",2,"[""María López""]",4,"[""María López"", ""Laura García""]",15,"[""presentó un estudio"", ""resultados prometedores""]"
ollama/qwen3:8b,El entrenador aseguró que el equipo trabajará duro. El columnista Juan Pérez destacó el esfuerzo de los jugadores.,2025-11-12 10:00:33,,[],"{
  ""cita_textual_titular"": {""codigo"": ""0"", ""evidencia"": []},
  ""genero_nombre_propio_titular"": {""codigo"": ""4"", ""evidencia"": []},
  ""genero_periodista"": {""codigo"": ""1"", ""evidencia"": [""El columnista Juan Pérez destacó el esfuerzo de los jugadores""]},
  ""genero_personas_mencionadas"": {""codigo"": ""4"", ""evidencia"": [""el entrenador"", ""Juan Pérez""]},
  ""nombre_propio_titular"": {""codigo"": ""4"", ""evidencia"": []},
  ""personas_mencionadas"": {""codigo"": ""4"", ""evidencia"": [""el entrenador"", ""Juan Pérez""]},
  ""tema"": {""codigo"": ""8"", ""evidencia"": [""equipo"", ""jugadores"", ""esfuerzo""]}
}",0,[],4,[],1,"[""El columnista Juan Pérez destacó el esfuerzo de los jugadores""]",4,"[""el entrenador"", ""Juan Pérez""]",4,[],4,"[""el entrenador"", ""Juan Pérez""]",8,"[""equipo"", ""jugadores"", ""esfuerzo""]"
ollama/qwen3:8b,"La presidenta anunció nuevas medidas económicas junto a su gabinete, conformado por hombres y mujeres.",2025-11-12 10:01:29,,[],"{
  ""cita_textual_titular"": {
    ""codigo"": ""1"",
    ""evidencia"": [""La presidenta anunció nuevas medidas económicas junto a su gabinete, conformado por hombres y mujeres.""]
  },
  ""genero_nombre_propio_titular"": {
    ""codigo"": ""4"",
    ""evidencia"": []
  },
  ""genero_periodista"": {
    ""codigo"": ""7"",
    ""evidencia"": []
  },
  ""genero_personas_mencionadas"": {
    ""codigo"": ""4"",
    ""evidencia"": [""hombres y mujeres""]
  },
  ""nombre_propio_titular"": {
    ""codigo"": ""4"",
    ""evidencia"": []
  },
  ""personas_mencionadas"": {
    ""codigo"": ""4"",
    ""evidencia"": [""presidenta"", ""gabinete""]
  },
  ""tema"": {
    ""codigo"": ""8"",
    ""evidencia"": [""medidas económicas""]
  }
}",1,"[""La presidenta anunció nuevas medidas económicas junto a su gabinete, conformado por hombres y mujeres.""]",4,[],7,[],4,"[""hombres y mujeres""]",4,[],4,"[""presidenta"", ""gabinete""]",8,"[""medidas económicas""]"
ollama/deepseek-r1:8b,"María López presentó un estudio. ""Hemos encontrado resultados prometedores"" dijo la investigadora. El reportaje fue redactado por Laura García.",2025-11-12 10:01:57,No JSON válido en ollama/deepseek-r1:8b,,"{
  'cita_textual_titular': {'codigo': '1', 'evidencia': [""'Hemos encontrado resultados prometedors' dijo la investigadora""]},
  'genero_nombre_propio_titular': {'codigo': '2', 'evidencia': ['María López']},
  'genero_periodista': {'codigo': '0', 'evidencia': []},
  'genero_personas_mencionadas': {'codigo': '4', 'evidencia': ['María López', ""Laura García""]},
  'nombre_propio_titular': {'codigo': '2', 'evidencia': ['María López']},
  'personas_mencionadas': {'codigo': [], 'evidencia': [""María López"", ""Laura García""]},
  'tema': {'codigo': '4', 'evidencia': []}
}",,,,,,,,,,,,,,
ollama/deepseek-r1:8b,El entrenador aseguró que el equipo trabajará duro. El columnista Juan Pérez destacó el esfuerzo de los jugadores.,2025-11-12 10:02:13,,['Código inválido 5 en personas_mencionadas'],"```json
{
  ""cita_textual_titular"": {""codigo"": ""0"", ""evidencia"": []},
  ""genero_nombre_propio_titular"": {""codigo"": ""3"", ""evidencia"": [""Juan Pérez""]},
  ""genero_periodista"": {""codigo"": ""1"", ""evidencia"": [""El columnista Juan Pérez destacó el esfuerzo de los jugadores.""]},
  ""genero_personas_mencionadas"": {""codigo"": ""1"", ""evidencia"": [""El entrenador aseguró que el equipo trabajará duro."", ""los jugadores""]},
  ""nombre_propio_titular"": {""codigo"": ""3"", ""evidencia"": [""Juan Pérez""]},
  ""personas_mencionadas"": {""codigo"": ""5"", ""evidencia"": []},
  ""tema"": {""codigo"": ""5"", ""evidencia"": []}
}
```",0,[],3,"[""Juan Pérez""]",1,"[""El columnista Juan Pérez destacó el esfuerzo de los jugadores.""]",1,"[""El entrenador aseguró que el equipo trabajará duro."", ""los jugadores""]",3,"[""Juan Pérez""]",5,[],5,[]
ollama/deepseek-r1:8b,"La presidenta anunció nuevas medidas económicas junto a su gabinete, conformado por hombres y mujeres.",2025-11-12 10:02:31,No JSON válido en ollama/deepseek-r1:8b,,"```json
{
  'cita_textual_titular': {'codigo': '0', 'evidencia': []},
  'genero_nombre_propio_titular': {'codigo': '2', 'evidencia': ['La presidenta']},
  'genero_periodista': {'codigo': '6', 'evidencia': []},
  'genero_personas_mencionadas': {'codigo': '3', 'evidencia': ['junto a su gabinete, conformado por hombres y mujeres']},
  'nombre_propio_titular': {'codigo': '', 'evidencia': []},
  'personas_mencionadas': {'codigo': '', 'evidencia': []},
  'tema': {'codigo': '17', 'evidencia': ['medidas económicas']}
}
```",,,,,,,,,,,,,,
ollama/gemma3:12b,"María López presentó un estudio. ""Hemos encontrado resultados prometedores"" dijo la investigadora. El reportaje fue redactado por Laura García.",2025-11-12 10:02:45,,[],"```json
{
  ""cita_textual_titular"": {""codigo"": ""1"", ""evidencia"": [""\""Hemos encontrado resultados prometedores\""""]},
  ""genero_nombre_propio_titular"": {""codigo"": ""2"", ""evidencia"": [""María López""]},
  ""genero_periodista"": {""codigo"": ""6"", ""evidencia"": [""Laura García""]},
  ""genero_personas_mencionadas"": {""codigo"": ""2"", ""evidencia"": [""María López""]},
  ""nombre_propio_titular"": {""codigo"": ""2"", ""evidencia"": [""María López""]},
  ""personas_mencionadas"": {""codigo"": ""2"", ""evidencia"": [""María López"", ""Laura García""]},
  ""tema"": {""codigo"": ""16"", ""evidencia"": [""estudio"", ""investradora"", ""resultados""]}
}
```",1,"[""\""Hemos encontrado resultados prometedores\""""]",2,"[""María López""]",6,"[""Laura García""]",2,"[""María López""]",2,"[""María López""]",2,"[""María López"", ""Laura García""]",16,"[""estudio"", ""investradora"", ""resultados""]"
ollama/gemma3:12b,El entrenador aseguró que el equipo trabajará duro. El columnista Juan Pérez destacó el esfuerzo de los jugadores.,2025-11-12 10:02:53,,"['Código inválido 0 en genero_nombre_propio_titular', 'Código inválido 0 en genero_periodista', 'Código inválido 0 en nombre_propio_titular', 'Código inválido 0 en personas_mencionadas']","```json
{
  ""cita_textual_titular"": {""codigo"": ""0"", ""evidencia"": []},
  ""genero_nombre_propio_titular"": {""codigo"": ""0"", ""evidencia"": []},
  ""genero_periodista"": {""codigo"": ""0"", ""evidencia"": []},
  ""genero_personas_mencionadas"": {""codigo"": ""1"", ""evidencia"": [""El entrenador"", ""Juan Pérez""]},
  ""nombre_propio_titular"": {""codigo"": ""0"", ""evidencia"": []},
  ""personas_mencionadas"": {""codigo"": ""0"", ""evidencia"": []},
  ""tema"": {""codigo"": ""1"", ""evidencia"": [""El entrenador"", ""equipo"", ""jugadores""]}
}
```",0,[],0,[],0,[],1,"[""El entrenador"", ""Juan Pérez""]",0,[],0,[],1,"[""El entrenador"", ""equipo"", ""jugadores""]"
ollama/gemma3:12b,"La presidenta anunció nuevas medidas económicas junto a su gabinete, conformado por hombres y mujeres.",2025-11-12 10:03:01,,[],"```json
{
  ""cita_textual_titular"": {""codigo"": ""0"", ""evidencia"": []},
  ""genero_nombre_propio_titular"": {""codigo"": ""2"", ""evidencia"": [""presidenta""]},
  ""genero_periodista"": {""codigo"": ""7"", ""evidencia"": []},
  ""genero_personas_mencionadas"": {""codigo"": ""2"", ""evidencia"": [""presidenta""]},
  ""nombre_propio_titular"": {""codigo"": ""4"", ""evidencia"": []},
  ""personas_mencionadas"": {""codigo"": ""4"", ""evidencia"": []},
  ""tema"": {""codigo"": ""6"", ""evidencia"": [""medidas económicas""]}
}
```",0,[],2,"[""presidenta""]",7,[],2,"[""presidenta""]",4,[],4,[],6,"[""medidas económicas""]"
ollama/gemma3:4b,"María López presentó un estudio. ""Hemos encontrado resultados prometedores"" dijo la investigadora. El reportaje fue redactado por Laura García.",2025-11-12 10:03:01,"Error al llamar al modelo ollama/gemma3:4b: litellm.APIConnectionError: OllamaException - {""error"":""model 'gemma3:4b' not found""}",,,,,,,,,,,,,,,,
